,cleaned_text
449,muka tutup panci wkwkekek jelek nya amp ubun ubun
450,xrickolim smngat tru bro tiada manusia yg sempurna kmu bangkit n gbu keepstrong
451,bego anak orang udah ga perawan noh gara lu wkwkw
452,frustasi habi uangnya kasihannn
453,bro lu yg ngehujat erick tpi masala sok kera
454,semangat rick usaha barunya
455,hadehh muka kaya tong sampah
456,banget omongan kasar tobat kawan kawan comment kasar nya
457,ni org jelek ga obat jj liat ya
458,semangat bang orang ngejudg lu peduliin
459,tuhan yesu semangat rick
460,bale komen hate bang bikin sakit jempol mend berkarya
461,eh lo nyadar ga udah dekil tatoan nya kaya daki haha
462,jelek dapet selingkuhan jelek keren yaa imbang wkkw
463,ngehina fisik ni orang ga bener ya wkwkwkwk
464,bunuh sono goblox
465,sabar komentar ujian
466,santai rick yg ngehujat lo belom tau perjalanan hidup lo aja sok suci
467,sabar yah tetep semangat ngejar karirnya dengerin orang ngebacot komen doank
468,erick masuk neraka jalur selingkuh bo
469,tr berkarya brd titik sprti
470,stop ngatain orang lu yg ngatain orang ngaca dlu ngatain kayak suci aja hidup lu
471,ngatain keknya idupnya gapernag bikin kesalahan
472,gila kau karna gak laku youtub
473,kasian yah sdh stress
474,jatohnya kek ajg sih rikkk
475,karir turun auti kasian hahah
476,erick kek gini gua kangenin keep it up bruuh
477,udah auti iya bg awokawkk
478,kasian muda udah stresss
479,komen yg support ketutup yg hate bgst emang ig
480,maudi cantik na natur bnr cantik bgt cantik dlm
481,bikin konten youtub student life at standford maudyayunda s at oxford fansmu nungguin nih
482,aura org pinter emg shine ya bun hy dindut
483,paket lengkap deh udh cantik pintar
484,sukaa bnget sm arti nggak neko natur bngett
485,cantik pintar bertalenta ortu yg gak kepengen anak kyk mba maudi
486,idih mak lampir diband uya ma lu lu butiran debu lu diken bacot rajin ngaca deh
487,anjirlah muka lo kek kuntilanak sok cantik
488,mbak cadel yg bangga cadelnya sih kasihan karna cadel jijik gak bisu aja
489,uda pinter cantik gak kebanyakan tingkah perfect
490,hati hati modi jaga jaga serangan brutal rasism wajahmu sekila onni korea waspada
491,bikin konten youtub daili activ stanford kak maudyayunda
492,motivasi ku ka maudi cantipp bngt
493,semoga kecerdasan mbak maudi bermanfaat agama nusa bangsa aamiin
494,damag nya cewek pinter gada lawann
495,cantikan berisi kuru bgt kuru auranya
496,cantik sih sayang kuru ya padahl udh nikah lo bahagia pernikahannya
497,good vibe lapar
498,kakak cantik bgt bismillah cerdasnya nular
499,bego lu alam semesta seisinya serentak murka mendengarkan lagumu
500,nya cantik banget masya allah
501,ka nisa ariana grand
502,adiknya kak maudi cantik pinter aura positifnya ramah lemah lembut rajin sholeha
503,sekila yg abu ariana grand haha
504,nya ariana grand
505,kakak adek cantik ya suka duanya
506,rambutnya kak modd bagussss item berkilauu
507,cantik congrat kak msuk nominsi tc candler
508,maudi enak bet dah cantik iya pinter iya
509,kukira dedeknya berdiri mukul bang jer pake ukulel salah salah
510,bang jerom klo nyanyini kek gini bagu suaranya ganyangkaaa
511,sutan lucu menggemaskan
512,bang vidio bareng sutan kayanya seneng ama bang jerom
513,klu jeromepolin video berdua aja seharian anak hahah lucu gimana riwehnya
514,muka lu cabul banget sih bg hahah
515,raut mukanya aja udh org kalah judi makan enak
516,kak jerom kayak boneka tau hahah
517,mukbang makanan sehat kak salad jepang gituuu
518,yakinin niatnya bg semoga suks
519,bang nonton kerja jepang bermanfaat bgt kontennya jd gampang kalo nyari jepang
520,cuman rumu diet yg ga dipecahka ya bang
521,perut maju tpi semangat maju
522,pantesan kak jessica bilang bang jerom beruang wkwkwk
523,aduhh susah klo urusan sma jerom rumu matematika bahasannya daya diriku yg suka bh inggri drpd matematika
524,kaya tulu ya mukanya klo diliat
525,kak jerom trik biar paham cepat rumu matematika dung
526,x baca caption mikir pakai kalkul cuyyy hahaha
527,sumpah si kak kemeja jean bikin keliatan seger bgt mantap mantap
528,ama aktor korea yg main film repli yg kaka nya jung hwan wkwk
529,iya bang jer berbeda klo pake style kayak gini fresh anak gaul
530,klo style gini pa gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur
531,dewasa imutt aih cipaaaaaa
532,maniss bangettt pengen dah senyuman mani kayak ka syifaaa
533,nih orang mani bnget sihh ga ngerti
534,kakak pinter nyanyi ya syifahadjur suaranya bagu kak
535,gk salah kalo kak syifa cantik mamahnya aja cantik bgtt jujurr
536,lelaki yg km lelaki yg beruntung
537,bgt ayahmu kalo adikmu bgt mamamu
538,kakak udah cantik sii cantikan kalo pake hijab
539,gemeshh kaya pengen cubit
540,angelkmgi cute sih ganteng parah msh jg
541,pengen gw pacul mulut lo woii anjeng busuk
542,blg org arti cewek yg menurutku cantik syifa ziu
543,ka cipa tu uda cantik mani bgt manisnya tu nglebihin gula
544,sekila cantikkan syifa
545,setuju g sih si tetep cntik bgt g pke make up g pke make up pucet bgt kyk g makan setahunn
546,dahlahh emang cantik kmu cippp
547,muka cantik make up hini bahagia bgt kali ya yg suaminya liat bidadari harinya
548,suka bgtt sm kak cipaa orangnya humbl sm orang temannya
549,arti remaja indonesia yg mani bgt kalo senyum deh perasaan yg nempel hati
550,doakan perempuan yg bernama nagita sehat bahagia lahir batin sayang sm
551,rafathar nya mantul ni pulang nggk jd nginep karna nggk temen mamani d rmh papani pulangg jd jagain temenin mama ya aa
552,kultur kerja kaya gini gw bagu si ga kapitali banget petingginya kerja ngevlog endor semoga gaji ga senjang si haha
553,senang kerja ran mbak gigi nggak ngebossi
554,seneng yaa lihat orang suks meet ya allah pengen suks kayak gitu biar statu instastori
555,smga kelg crew sehat rejeki tr lancar ya kak gigi
556,foku nagita pa minum sempet baca doa keren bgt hasil didikan orang tua nya
557,kasihan ya nagita suami kerjaannya berzinah
558,koreaabl banget face rafathar cakep ganteng mani banget
559,masyaallah rafathar ganteng bgt gk kuat ngeliat alisni
560,siwon ya perasaan gw aja
561,lucunya berasa kayak kaka adek
562,wajah nagita kya umur an
563,foto no edit edit ya saayi kamera nyaa bene model fotonya bene gak pakai filter tipu tipu
564,look nya rafathar emang gak dipungkiri diborong gen mama gigi haha
565,nagita kaya anak muda coba cantikk bangeett
566,masyaallah mamani cantik anakni ganteng perfect
567,kaya adek kakak kak gigi keliatan muda banget
568,gede aja rafathar ya pinter ya rafathar
569,mama gigi rambutnya pirang cantik muda
570,ootd mama gigi simpl elegan nya masyaallah
571,masyaallah mamah gigi bene bet dah sehat mamah gigi dn keluarga
572,mama gigi ketemu gajah gajahnya seneng ketawa gitu ahhaha
573,ya allah ga tau knp ak suka lihat nagita pake dress modelnya cakep cakep
574,i see beauti in everyth mba gigi sehat dede bayi nya
575,mama gigi cantik banget look younger than her age love mama gigi
576,semoga adeknya rafathar anak tangguh kuat cerda
577,pakaian apapun yg dipak mama gigi kecee
578,terima kasih kak nagita raffinagita support molli si gajah satwa satwa bali zoo kunjungannya keluarga
579,kaya ny gajahnya merasakan aura positif nya mb gigi sumringah jg gajahnya loo
